lang,threads,kernel,ms,gflops
C,1,bf16,18.58,9.5
C,1,mxfp4,2.39,9.2
Rust,1,bf16,9.21,19.1
Rust,1,mxfp4,2.42,9.1
C,2,bf16,10.18,17.3
C,2,mxfp4,1.20,18.3
Rust,2,bf16,4.93,35.7
Rust,2,mxfp4,1.32,16.7
C,4,bf16,6.20,28.4
C,4,mxfp4,0.75,29.2
Rust,4,bf16,2.87,61.4
Rust,4,mxfp4,0.73,30.1
C,6,bf16,4.93,35.7
C,6,mxfp4,0.72,30.7
Rust,6,bf16,2.16,81.6
Rust,6,mxfp4,0.71,31.0
C,8,bf16,4.26,41.3
C,8,mxfp4,0.62,35.4
Rust,8,bf16,1.92,91.6
Rust,8,mxfp4,0.60,36.4
C,10,bf16,4.33,40.7
C,10,mxfp4,0.56,39.4
Rust,10,bf16,1.81,97.2
Rust,10,mxfp4,0.57,38.6
